time,close,high,low,open,volumefrom,volumeto,buy_signal,sell_signal,hold_signal,12EMA,50EMA,minusDI,plusDI,MACD,MACDsignal,RSI,StoOsci,StoOsci_signal,BB_hband,BB_lband,ATR,ADI,MFI
3/10/2013,46.0,47.95,45.47,46.85,36363.25,1703124.85,1,0,0,39.749690267540565,29.0486377508722,16.38563853787181,42.03011777467078,5.286989902094781,4.264505278680861,90.02500084609885,91.61094224924011,82.58910098332018,48.58809227229492,26.491907727705048,3.0722800189204245,28162972.838933438,76.6539663211035
3/11/2013,48.4,48.47,45.54,46.0,41390.18,1970814.35,1,0,0,41.080507149457404,29.807514701818388,15.150773933531356,40.200111646067626,5.585414218489085,4.528687066642506,91.41844551016224,82.92537313432835,84.54148709340835,50.42655591598457,27.22487265544398,3.0621171604261086,30039618.585179172,77.84255547965618
3/12/2013,44.29,48.4,36.65,48.4,183411.75,8014901.58,1,0,0,41.57427528031011,30.37545530174708,30.153863016042052,30.232539147114995,5.427707751635744,4.708491203641154,72.69119803975869,29.850746268656717,68.12902055074176,50.836128858690195,28.699585427024054,3.6826802203956723,32447499.655596197,61.145467129546624
3/13/2013,46.92,47.3,43.75,44.29,49514.6,2298258.15,1,0,0,42.39669446795471,31.024260976188373,27.87578643299274,27.948518706996794,5.4520949043673355,4.857211943786391,76.0694457057128,66.54676258992806,59.774293997637734,51.372353667833124,30.45193204645256,3.673203061795981,34253736.34249761,62.843114877951535
3/14/2013,47.17,47.99,46.05,46.92,37041.72,1752628.5,1,0,0,43.13104916519245,31.657427212416284,26.67440202180674,28.27685875472007,5.429012532241181,4.971572061477349,76.36870340446676,83.0935251798561,59.83034467948031,51.92283108737403,31.87145462691165,3.5494028430962685,34524761.36827081,61.66037563917483
3/15/2013,46.95,47.45,46.4,47.17,20286.44,954285.65,1,0,0,43.71858006285515,32.257135949184274,26.01247119644052,27.575162632761113,5.3315091064187925,5.043559470465638,75.47424793607811,85.6115107913669,78.41726618705037,52.221053576143476,33.35180356671363,3.370874068589392,34570203.542080335,58.9662971424361
3/16/2013,47.0,47.36,46.27,46.95,16314.97,764861.89,1,0,0,44.22341389933898,32.83528748058881,25.627444505772353,26.82141601573433,5.198348198934944,5.074517216159499,75.54435381779273,84.67625899280578,84.46043165467627,52.06057492289,35.33371079139569,3.207954492261578,34829835.55978676,59.19281661661706
3/17/2013,47.4,47.74,46.8,47.0,13936.62,660618.0,1,0,0,44.71211945328683,33.40645267742846,24.984940947330745,27.1624836892081,5.066688249209022,5.072951422769404,76.13214119137109,86.3247863247863,85.53751870298635,51.423018953716216,37.8141239034266,3.045957742814323,35012559.68744633,59.5923057514954
3/18/2013,51.6,52.88,47.12,47.4,65311.59,3199314.24,1,0,0,45.771793383550396,34.119925121450876,21.398690442009162,36.07231374156713,5.24083856495983,5.106528851207489,81.23269196265524,59.086757990867554,76.69593443615324,51.62674725212351,39.817538462162176,3.2398179040418715,36789956.48744633,61.894173524837996
3/19/2013,59.14,62.0,50.0,51.6,111704.13,6187650.4,1,0,0,47.82844055531187,35.10110452845281,16.13510739881746,45.89360130649126,5.919037945505792,5.26903067006715,86.71954482372944,37.56830601092896,60.9932834421943,55.478567425950594,38.652861145477935,3.8655451966103094,40028160.19677967,66.07584560343912
3/20/2013,64.49,66.0,57.7,59.14,93136.82,5776620.57,1,0,0,50.3917573929562,36.25361023321937,13.609225206709894,46.25352652142469,6.809717939432055,5.577168123940131,89.14465777405675,66.03301650825415,54.22936017001691,60.397008618633535,37.08727709565214,4.182291968281001,43702926.05335797,67.89251990090095
3/21/2013,70.85,74.9,63.1,64.49,94307.76,6514880.18,1,0,0,53.5391793325014,37.610331400544105,10.950528556197783,51.952213842038766,7.937290949608673,6.04919268907384,91.20155637632914,70.58823529411767,58.063185937766946,66.47152365293648,35.13419063277777,4.726413970546645,45745727.465730846,81.70260580506894
3/22/2013,69.87,73.75,65.0,70.85,73196.96,5171296.14,1,0,0,56.051613281347336,38.87541644366002,9.456138946886647,44.8624329106597,8.652087000891107,6.569771551437294,88.42133067791758,75.48197820620287,70.70107666952492,70.62060630273086,34.65510798298339,5.013812972650456,46330822.68614228,69.78817683129188
3/23/2013,64.35,70.5,52.35,69.87,150462.72,9429382.99,1,0,0,57.32828816114005,39.87441972037924,23.669655206775808,34.27737105652899,8.673171234791695,6.9904514881081745,74.62241960675811,21.443736730360957,55.837983410227196,72.50910027854408,35.266614007170176,5.952112046032566,49370045.30275384,55.62697309595265
3/24/2013,71.5,72.5,62.7,64.35,42023.26,2896432.3,1,0,0,59.50855152096466,41.11463855487417,20.781471104117173,32.585042836740975,9.161221033605067,7.424605397207554,79.15925186174073,63.63636363636365,53.52069285764253,75.81721089571708,35.60136053285433,6.226961185601668,51675368.97010078,57.28771102417388
3/25/2013,73.6,78.0,69.52,71.5,79743.02,5921197.54,1,0,0,61.67646667158548,42.38857429782028,18.63501936879577,35.918464110734874,9.606716220326604,7.8610275618313645,80.27463845029982,84.48669201520913,56.52226412731128,79.13230448633341,35.886266942237995,6.387892529487263,51451927.553497,61.401251685622654
3/26/2013,78.5,79.72,73.11,73.6,56667.38,4377374.22,1,0,0,64.26470256826464,43.80470863908223,17.130464128339582,35.119376632752356,10.237155854136049,8.336253220292303,82.612936284225,82.72435897435896,76.94913820864394,82.74827200584025,37.15744227987402,6.4037573488096005,54213448.05234723,71.0419648282696
3/27/2013,88.92,89.5,78.4,78.5,72226.75,6129700.26,1,0,0,68.05782525007008,45.57393575127508,14.92321760619543,41.94693205597756,11.445652366617686,8.95813304955738,86.32528968426419,74.68719923002888,80.63275007319903,88.93058543743555,36.975128848278715,6.739203252466057,59702567.0239148,74.09761940491529
3/28/2013,86.18,95.7,75.0,88.92,140263.09,12261153.08,1,0,0,70.84585213467469,47.16633042769567,11.823830430665845,39.45565317555402,12.043469835181732,9.575200406682251,81.40338650078597,66.50625601539942,74.6392714065958,92.69772617817198,38.78084525039945,7.736403020147053,60685828.5752578,79.1714102077675
3/29/2013,90.5,93.06,83.01,86.18,83174.56,7384104.11,0,0,1,73.86956719087858,48.86569001876643,10.652087450639264,35.5455933263436,12.719213209866588,10.20400296731912,83.0447924390198,82.63792304126102,74.61045942889649,96.4607401463375,41.23925985366249,7.9016599472794065,64308080.6411583,82.272707666423
3/30/2013,92.19,94.98,87.0,90.5,37284.61,3420002.53,0,0,1,76.6880953153588,50.5646825670501,9.809979696084472,34.63760410659201,13.238508295903237,10.810904033035944,83.65267066645745,88.32395950506188,79.15604618724082,99.27923124530328,44.876483040411,7.907255665330878,65336652.83063198,83.72989596844559
3/31/2013,93.03,93.8,91.0,92.19,21129.5,1959050.82,0,1,0,79.20223449761129,52.229989133048136,9.52184358692771,33.620237630107944,13.561505775893181,11.361024381607391,83.9604802262814,94.94396014943959,88.63528089858754,100.80968317419965,49.864602540086025,7.542451689235814,66218225.69963198,84.1386918196759
4/1/2013,104.0,106.0,92.24,93.03,90563.17,9060022.27,0,1,0,83.01727534413263,54.260185637634486,8.22647767103403,41.10830929570233,14.535119120319564,11.995843329349826,87.3187120985119,71.99999999999999,85.08930655150053,104.89781112775782,53.262188872242184,7.9865622828618275,72644520.56556222,85.90942013498444
4/2/2013,117.98,118.36,99.0,104.0,81284.67,8747147.45,0,1,0,88.39615606041991,56.759001887139014,6.805446710925517,45.0354656582461,16.24749289022263,12.846173241524388,90.14927464486203,63.48595613697576,76.80997209547182,113.52600553203447,53.03970875367978,8.79895069122884,81048288.26029363,87.10671899174828
