time,close,high,low,open,volumefrom,volumeto
5/15/2017,1708.92,1776.65,1656.81,1772.55,80241.72,138499150.9
5/16/2017,1729.34,1752.55,1653.72,1708.92,75541.37,130379207.2
5/17/2017,1801.3,1842.83,1703.97,1729.34,94618.69,170954154.7
5/18/2017,1880.99,1980.49,1791.12,1801.3,73095.54,135901905.4
5/19/2017,1962,1969.7,1875.28,1880.99,98759.13,191523926.2
5/20/2017,2040.18,2048.45,1944.4,1962,89862.03,179346919.1
5/21/2017,2044.19,2094.94,1980.07,2040.18,78775.32,161036810.1
5/22/2017,2124.41,2264.76,1998.61,2044.19,174376.65,373482496
5/23/2017,2272.58,2286.3,2110.78,2124.41,114179.23,251969081.9
5/24/2017,2445.28,2496.98,2263.29,2272.58,149254.84,353734030.9
5/25/2017,2307.22,2781.76,2210.48,2445.28,248438.97,622139031
5/26/2017,2244.89,2616.52,2051.45,2306.96,191494.03,441342711.5
5/27/2017,2052.43,2322.37,1868.56,2244.89,222952.91,446034004
5/28/2017,2189.02,2300.52,2051.07,2052.43,125004.39,266766116.9
5/29/2017,2278.21,2337.35,2117.34,2189.02,92235.69,204101576.1
5/30/2017,2192.55,2329.26,2147.1,2278.21,120964.11,270069146.9
5/31/2017,2303.34,2330.62,2168.37,2192.55,117749.1,261223036
6/1/2017,2412.65,2460.84,2303.34,2303.34,122696.44,290070431.9
6/2/2017,2492.6,2493.97,2385.59,2412.65,83028.45,199765372.8
6/3/2017,2545.43,2582.77,2449.95,2492.6,70956.49,177168595.5
6/4/2017,2524.06,2559.79,2478.18,2545.43,59478.96,149060810.4
6/5/2017,2704.96,2705.38,2523.92,2524.06,86686.38,225611887.5
6/6/2017,2870.5,2931.24,2699.68,2704.96,192228.25,538772473.8
6/7/2017,2691.51,2880.95,2626.56,2870.5,122676.04,340329903.7
6/8/2017,2798.78,2808.41,2623.61,2691.51,95420.44,260898606.1
6/9/2017,2811.43,2852.07,2786.07,2798.78,67044.96,189237110.9
6/10/2017,2900.25,2914.19,2807.36,2811.43,86516.58,246869682.1
6/11/2017,2973.45,2977.86,2867.25,2900.25,83026.07,241516660.8
6/12/2017,2656.77,2985.06,2483.63,2973.45,217963.32,585158909.9
6/13/2017,2712.99,2784.77,2647.44,2656.77,116738.08,314476276.7
6/14/2017,2467.27,2803.72,2348.99,2712.99,174189.24,448294279.4
6/15/2017,2442.46,2521.6,2125.56,2467.27,262787.33,606264366
6/16/2017,2508.58,2536.42,2335.28,2442.46,117206.43,286630757.6
6/17/2017,2655.1,2690.71,2454.81,2508.58,95948.29,246698591.9
6/18/2017,2539.56,2676.04,2488.59,2655.1,92004.22,235239296.3
6/19/2017,2616.82,2617.75,2518.78,2539.56,81829.22,210372750.9
6/20/2017,2754.38,2800.48,2613.98,2616.82,111303.55,300034010.6
6/21/2017,2677.62,2804.41,2624.35,2754.38,116033.61,313234721.5
6/22/2017,2722.84,2757.32,2623.17,2677.62,78297.6,210318781
6/23/2017,2710.37,2759.66,2699.48,2722.84,56938.1,155303414.2
6/24/2017,2590.05,2741.56,2540.35,2710.37,86964.18,228007287
6/25/2017,2541.62,2660.66,2472.37,2590.05,86972.43,220679135.8
6/26/2017,2446.05,2584.75,2327.26,2541.62,165825.86,401912134.9
6/27/2017,2583.75,2585.06,2309.63,2446.05,159263.78,381517099.9
6/28/2017,2577.74,2616.95,2490.11,2583.75,110423.89,279792448.2
6/29/2017,2558.37,2605.86,2526.51,2577.74,75323.92,191733499.8
6/30/2017,2480.61,2576.28,2469.54,2558.37,73001.6,183878856.3
7/1/2017,2424.61,2529.62,2387.47,2480.61,66319.98,160661673.8
7/2/2017,2536.46,2555.34,2375.86,2424.61,67757.31,165839565.2
7/3/2017,2572.47,2617.48,2506.3,2536.46,83418.16,212244951.2
7/4/2017,2617.32,2658.73,2569.99,2572.47,80675.07,210433639.1
7/5/2017,2627.86,2642.74,2562.04,2617.32,89719.19,232257106.9
7/6/2017,2614.24,2634.84,2581.8,2627.86,60155.45,156558009.8
7/7/2017,2513.88,2617.48,2484.73,2614.24,90447.94,229168229.2
7/8/2017,2564.86,2568.73,2480.62,2513.88,54508.76,136973389.5
7/9/2017,2511.43,2576.73,2509.65,2564.86,39161.96,99506518.51
7/10/2017,2344.02,2530.34,2271.79,2511.43,123797.54,297270301
7/11/2017,2324.29,2412.75,2265.48,2344.02,146630.2,341998621.1
7/12/2017,2403.09,2424.82,2262.08,2324.29,109522.9,257095280.1
7/13/2017,2362.44,2436.66,2334.96,2403.09,88166.37,208630220.7
7/14/2017,2234.17,2370.53,2165.36,2362.44,114411.35,257704533.4
7/15/2017,1975.08,2237.13,1974.03,2234.17,155317.39,320719096.8
7/16/2017,1914.09,2044.41,1808.99,1975.08,189643.47,364287861.7
7/17/2017,2233.39,2233.83,1913.79,1914.09,176887.53,368366495.4
7/18/2017,2320.23,2400.74,2164.59,2233.39,202621.16,465220151.8
7/19/2017,2282.58,2412.38,2243.13,2320.23,154319.01,357639189.6
7/20/2017,2866.02,2932.81,2282.11,2282.58,310335.43,807416890.9
7/21/2017,2675.08,2873.96,2622.54,2866.02,193756.93,529154790
7/22/2017,2836.53,2876.71,2658.59,2675.08,121917.95,341992860.2
7/23/2017,2756.61,2856.67,2675.65,2836.53,108229.76,299869260.3
7/24/2017,2763.42,2798.89,2715.69,2756.61,83009.25,229047365
7/25/2017,2582.58,2779.08,2472.62,2763.42,205883.15,534765380.8
7/26/2017,2559.21,2631.73,2441.54,2582.58,135502.93,340465234.9
7/27/2017,2691.88,2712.92,2547.74,2559.21,103832.54,269880858
7/28/2017,2806.75,2843.78,2683.59,2691.88,138904.86,383479795.7
7/29/2017,2733.5,2812.13,2699.42,2806.75,84491.69,230818895
7/30/2017,2766.49,2773.06,2621.68,2733.5,82717.65,222933516.3
7/31/2017,2883.27,2916.3,2723.05,2766.49,91115.22,254836601.6
8/1/2017,2746.99,2946.02,2659.62,2883.27,123174.1,341216428.6
8/2/2017,2720.53,2773.8,2668.87,2746.99,81817.6,222534344.6
8/3/2017,2809.99,2822.88,2717.62,2720.53,68102.9,188517085.9
8/4/2017,2878.49,2892.67,2779.51,2809.99,68760.4,195800289.5
8/5/2017,3262.8,3344.01,2875.91,2878.49,159402.96,503737620.4
8/6/2017,3232.03,3295.07,3166.52,3262.8,60660.39,196484496.5
8/7/2017,3401.91,3425.13,3198.51,3232.03,88111.88,294021645.2
8/8/2017,3429.38,3494.87,3357.15,3401.91,106940.67,366169429.3
8/9/2017,3348.79,3437.15,3251.03,3429.38,97062.76,324058681.7
8/10/2017,3425.67,3453.84,3322.92,3348.79,71000.32,242024460.3
8/11/2017,3654.37,3706.48,3409.79,3425.67,97564.43,345135492.4
8/12/2017,3871.62,3967.26,3611.36,3654.37,123593.57,469532325.4
8/13/2017,4062.6,4189.42,3847.31,3871.62,158586.97,638917500.3
8/14/2017,4327.94,4336.71,3978.95,4062.6,128460,540927757.8
8/15/2017,4161.66,4436.48,3837.13,4327.94,211581.81,872840682.3
8/16/2017,4387.4,4398.06,3938.62,4161.66,112901.04,472960334.5
8/17/2017,4278.92,4487.5,4194.1,4387.4,127475.88,554232802.5
8/18/2017,4105.37,4362.73,3978.28,4278.92,144398.64,603898315.5
8/19/2017,4150.45,4189.68,3957.46,4105.37,113724.38,462723151.9
8/20/2017,4066.6,4182.29,4034.4,4150.45,70163.05,288193446.2
8/21/2017,4005.1,4097.25,3966.93,4066.6,90644.62,365174045.8
8/22/2017,4089.7,4142.68,3612.21,4005.1,169138.73,659657838.9
8/23/2017,4141.09,4255.62,4070.49,4089.7,96649.15,402340258.5
8/24/2017,4318.35,4364.11,4111.71,4141.09,72358.36,305373477.8
8/25/2017,4364.41,4461.71,4292.63,4318.35,82901.88,362283253
8/26/2017,4352.3,4379.28,4263.28,4364.41,46159.77,199403922.8
8/27/2017,4345.75,4408.18,4321.12,4352.3,42516.01,185180843.1
8/28/2017,4390.31,4403.13,4195.23,4345.75,75486.08,325285703.3
8/29/2017,4597.31,4647.83,4350.22,4390.31,100801.36,455467850.2
8/30/2017,4583.02,4644.06,4491.79,4597.31,68471.63,313466398.1
8/31/2017,4735.11,4765.07,4580.13,4583.02,72293.57,338981145.1
9/1/2017,4921.85,4925.23,4690.17,4735.11,102012.79,491140364.6
9/2/2017,4573.8,4976.52,4448.64,4921.85,160770.39,747713818.1
9/3/2017,4612.92,4719.78,4397.74,4573.8,102823.39,470135795.4
9/4/2017,4267.45,4621.01,4098.58,4612.92,170399.25,737216060.5
9/5/2017,4409.08,4496.67,4004.62,4267.45,158410.81,673846827.7
9/6/2017,4618.71,4660.04,4401.53,4409.08,110931.13,504717245.7
9/7/2017,4635.6,4690.55,4493.2,4618.71,70531.23,324939872.8
9/8/2017,4326.45,4699.59,4130.88,4635.6,180364.02,786819863.5
9/9/2017,4335.13,4402.15,4185.33,4326.45,77087.34,332195251.1
9/10/2017,4245.89,4338.08,4032.15,4335.13,108075.24,451244396.5
9/11/2017,4217.9,4364.42,4134.62,4245.89,88757.81,375254125.2
9/12/2017,4158.92,4387.76,4074.97,4217.9,107041.94,453402207.4
9/13/2017,3870.29,4174.58,3752.01,4158.92,186540.37,728385231.8
9/14/2017,3243.08,3930.69,3218.98,3870.29,317592.57,1118258890
9/15/2017,3713.76,3824.43,2979.88,3243.08,448551.92,1519153953
9/16/2017,3698.92,3893.67,3551.83,3713.76,169361.61,627559216.2
9/17/2017,3689.61,3796.56,3485.83,3698.92,96068.08,351250484.2
9/18/2017,4100.28,4122.75,3689,3689.61,147927.08,586938661.3
9/19/2017,3907.96,4120.71,3852.22,4100.28,123214.81,488897829.6
9/20/2017,3882.16,4053.04,3846.76,3907.96,86645.15,342438072.5
9/21/2017,3617.27,3912.79,3576.54,3882.16,145124.78,543570164.1
9/22/2017,3600.83,3753.51,3505.81,3617.27,114717.36,414612501.8
9/23/2017,3788.02,3813.39,3563.18,3600.83,67820.32,253370774.7
9/24/2017,3667.52,3790.89,3633.88,3788.02,49661.76,183852135.7
9/25/2017,3932.83,3971.5,3665.67,3667.52,100194.7,386674961.7
9/26/2017,3892.7,3982.31,3858.75,3932.83,63252.3,248481868.9
9/27/2017,4212.2,4232.35,3882.08,3892.7,117596.07,480358673.9
9/28/2017,4195.65,4274.64,4112.88,4212.2,92228.17,386909537
9/29/2017,4172.79,4237.51,4030.37,4195.65,97803.91,404599756.3
9/30/2017,4360.62,4383.27,4164.25,4172.79,67493.68,290796940
10/1/2017,4403.09,4412.62,4258.32,4360.62,60583.85,262485153.9
10/2/2017,4401.32,4477.38,4364.67,4403.09,71201.48,314621927.6
10/3/2017,4314.18,4435.99,4230.73,4401.32,81867.3,353046057.5
