,Date,symbolid,buyret,sellret,Action,mav5,mav10,mav20,mav30,mav50,mav100
3267,2016-06-08,GBPUSD=X,-8.200129954515923,8.932616081540212,Sell,0.9803410307688263,0.9864208839671956,0.985058265921641,0.9854035475691331,0.9789498625015957,0.9738692534859962
3268,2016-06-09,GBPUSD=X,-7.249962461479975,7.816667953874412,Sell,0.9819484895776376,0.9854638377449859,0.9855941678490374,0.9856141864262791,0.9794084003228026,0.9743475455680746
3269,2016-06-10,GBPUSD=X,-7.847990470020738,8.516353045418512,Sell,0.9830071054151984,0.9843652965577868,0.9859244861345438,0.9855474032468143,0.9798054200682875,0.9747726488339737
3270,2016-06-13,GBPUSD=X,-6.335269599586157,6.763772844381299,Sell,0.980693829785943,0.9817301140536012,0.9857184802629264,0.9849487574142785,0.9800937727539607,0.9750594272815627
3271,2016-06-14,GBPUSD=X,-6.5243588263615315,6.979742256318966,Sell,0.9776208470274389,0.9791781867287043,0.9852629509534087,0.9842686409126965,0.9803731666345964,0.9753914262794781
3272,2016-06-15,GBPUSD=X,-8.254211007030744,8.996828189752982,Sell,0.9723362124159121,0.977164268363455,0.984563928575256,0.9837279866375463,0.9807548727722564,0.9756661139064899
3273,2016-06-16,GBPUSD=X,-8.945982176506273,9.824917549325352,Sell,0.9683324660037798,0.9760299895692215,0.9835915052313633,0.9834112156851299,0.9812211177277773,0.9760155283137882
3274,2016-06-17,GBPUSD=X,-9.653168920488087,10.684568351924352,Sell,0.9664222664010702,0.9756637277137984,0.9829361328868323,0.98334787689614,0.9819274037278422,0.9763510890006966
3275,2016-06-20,GBPUSD=X,-11.24243965780839,12.666458625569277,Sell,0.9721125499561071,0.9773252235999648,0.9835489711956633,0.9839883692960951,0.9828361415973598,0.9768689470400248
3276,2016-06-21,GBPUSD=X,-11.542812207410968,13.049038179323658,Sell,0.9787377216364975,0.9790447163622151,0.9844584175422691,0.9848293893606064,0.9836882277582217,0.9772872821954025
3277,2016-06-22,GBPUSD=X,-9.48870131401629,10.483444002870868,Sell,0.9864071734446612,0.9801327319335424,0.9848809386161299,0.9855523076033504,0.9844607652110274,0.9776895780688851
3278,2016-06-23,GBPUSD=X,-11.28957226121411,12.72631927157093,Sell,0.9947379223400208,0.9822218228724796,0.9854355687829551,0.9865939850141149,0.9855188832017865,0.978070931093838
3279,2016-06-24,GBPUSD=X,-8.243193581513896,8.983740719918032,Sell,0.9986543128691291,0.983201526824686,0.9854106203269696,0.9871898811109114,0.9864196982876845,0.9783920952863618
3280,2016-06-27,GBPUSD=X,-1.6457536922960148,1.6732919564522275,Sell,0.9838828811035437,0.9788668181063838,0.9821008255256153,0.9858475017997285,0.9861320324459428,0.9783616796080418
3281,2016-06-28,GBPUSD=X,0.2560626941815025,-0.255408687814318,None,0.964992567775181,0.972994835513159,0.9780855219836038,0.9838554898391774,0.9854573218762234,0.9783009211963867
3282,2016-06-29,GBPUSD=X,-1.8168730937700328,1.850494225454069,Sell,0.9476334488651028,0.9683833185838762,0.9748909606655269,0.9820146580740852,0.9847128319917673,0.9782085838596144
3283,2016-06-30,GBPUSD=X,-1.4949680079371142,1.5176564868864428,Sell,0.9301238746718298,0.9639859590875544,0.9722280397962189,0.9800393429110381,0.9841205352560428,0.9780808320433788
3284,2016-07-01,GBPUSD=X,-0.6198649381673138,0.623731229366542,Sell,0.9139176964298488,0.9579996433778654,0.9691777509840671,0.9777753731141438,0.9833995738127226,0.9779268322796978
3285,2016-07-04,GBPUSD=X,-1.2053496183573764,1.2200555533129709,Sell,0.9123114938717598,0.9497586267546826,0.9660690046777032,0.975676419456828,0.9824598302002797,0.9777261752138436
