time,high,low,open,volumefrom,volumeto,close
2014-06-29,1.727,1.684,1.717,39.98,67.33,1.684
2014-06-30,1.779,1.714,1.684,615.8,1055.48,1.714
2014-07-01,1.852,1.67,1.714,1615.98,2887.76,1.787
2014-07-02,1.828,1.745,1.787,1170.25,2092.41,1.788
2014-07-03,2.076,1.758,1.788,1134.99,2197.34,1.936
2014-07-04,1.894,1.783,1.936,232.43,429.3,1.847
2014-07-05,1.844,1.701,1.847,722.12,1280.32,1.773
2014-07-06,1.783,1.76,1.773,63.18,111.32,1.762
2014-07-07,1.743,1.7,1.762,96.94,166.06,1.713
2014-07-08,1.722,1.703,1.713,531.59,915.4,1.722
2014-07-09,1.857,1.729,1.722,504.49,936.84,1.857
2014-07-10,1.852,1.798,1.857,549.36,1002.03,1.824
2014-07-11,1.873,1.83,1.824,58.69,108.81,1.854
2014-07-12,1.914,1.822,1.854,279.1,534.2,1.914
2014-07-13,1.932,1.881,1.914,325.94,619.29,1.9
2014-07-14,1.87,1.788,1.9,108.98,199.11,1.827
2014-07-15,1.831,1.776,1.827,68.31,122.68,1.796
2014-07-16,1.782,1.763,1.796,114.57,202.45,1.767
2014-07-17,1.84,1.793,1.767,1194.18,2155.49,1.805
2014-07-18,1.84,1.795,1.805,847.47,1547.48,1.826
2014-07-19,1.825,1.797,1.826,360.64,653.48,1.812
2014-07-20,1.801,1.758,1.812,812.27,1454.78,1.791
2014-07-21,1.813,1.763,1.791,569.92,1030.99,1.809
2014-07-22,1.802,1.756,1.809,262.23,463.88,1.769
2014-07-23,1.913,1.751,1.769,1306.71,2288.05,1.751
2014-07-24,1.695,1.632,1.751,379.5,619.34,1.632
2014-07-25,1.671,1.62,1.632,378.42,630.07,1.665
2014-07-26,1.653,1.641,1.665,230.86,378.84,1.641
2014-07-27,1.638,1.62,1.641,149.9,242.84,1.62
2014-07-28,1.63,1.571,1.62,243.14,396.32,1.63
2014-07-29,1.624,1.599,1.63,121.52,194.31,1.599
2014-07-30,1.549,1.541,1.599,10.01,15.51,1.549
2014-07-31,1.617,1.572,1.549,273.4,433.07,1.584
2014-08-01,1.616,1.588,1.584,1026.16,1654.17,1.612
2014-08-02,1.596,1.575,1.612,177.26,282.02,1.591
2014-08-03,1.583,1.521,1.591,144.36,219.57,1.521
2014-08-04,1.631,1.519,1.521,2206.52,3598.83,1.631
2014-08-05,1.62,1.579,1.631,98.28,155.18,1.579
2014-08-06,1.582,1.555,1.579,132.3,205.73,1.555
2014-08-07,1.618,1.501,1.555,625.54,953.95,1.525
2014-08-08,1.536,1.524,1.525,110.74,169.1,1.527
2014-08-09,1.51,1.493,1.527,71.75,107.12,1.493
2014-08-10,1.5,1.455,1.493,13.21,19.22,1.455
2014-08-11,1.44,1.357,1.455,828.12,1135.35,1.371
2014-08-12,1.352,1.178,1.371,643.64,778.8,1.21
2014-08-13,1.223,1.035,1.21,53099.91,58834.7,1.108
2014-08-14,1.106,1.032,1.108,40.04,42.56,1.063
2014-08-15,1.077,1.039,1.063,500.76,520.29,1.039
2014-08-16,1.151,1.092,1.039,73.22,84.28,1.151
2014-08-17,1.07,0.9836,1.151,145.41,144.36,0.9928
2014-08-18,0.9452,0.7977,0.9928,821.64,655.42,0.7977
2014-08-19,1.174,0.8373,0.7977,747.09,827.03,1.107
2014-08-20,1.27,1.166,1.107,506.22,628.22,1.241
2014-08-21,1.262,1.197,1.241,188.91,226.13,1.197
2014-08-22,1.193,1.152,1.197,48.42,55.78,1.152
2014-08-23,1.111,1.087,1.152,27.81,30.23,1.087
2014-08-24,1.15,1.113,1.087,22.41,25.77,1.15
2014-08-25,1.135,1.104,1.15,4.5,4.968,1.104
2014-08-26,1.291,1.126,1.104,117.56,143.89,1.224
2014-08-27,1.241,1.196,1.224,78.87,96.38,1.222
2014-08-28,1.225,1.211,1.222,1.0,1.225,1.225
2014-08-29,1.229,0.7653,1.225,657.29,794.66,1.209
2014-08-30,1.193,0.7554,1.209,27.01,22.04,0.8161
2014-08-31,1.087,0.7771,0.8161,36.59,39.77,1.087
2014-09-01,1.096,0.7158,1.087,2097.41,2223.25,1.06
2014-09-02,1.064,0.9938,1.06,103.06,102.42,0.9938
2014-09-03,1.035,0.9961,0.9938,26.56,27.49,1.035
2014-09-04,1.067,1.019,1.035,322.61,344.22,1.067
2014-09-05,1.052,1.018,1.067,115.68,121.7,1.052
2014-09-06,1.054,0.7504,1.052,989.09,742.21,0.7504
2014-09-07,1.023,0.7524,0.7504,29.1,29.77,1.023
2014-09-08,1.098,0.9871,1.023,524.37,517.61,0.9871
2014-09-09,1.019,0.9854,0.9871,222.88,227.11,1.019
2014-09-10,1.058,1.028,1.019,62.75,64.51,1.028
2014-09-11,1.062,1.026,1.028,45.06,47.09,1.045
2014-09-12,1.048,0.9813,1.045,147.2,144.45,0.9813
2014-09-13,1.04,0.9822,0.9813,1.347,1.401,1.04
2014-09-14,1.088,1.024,1.04,145.69,158.51,1.088
2014-09-15,1.088,1.019,1.088,85.98,87.61,1.019
2014-09-16,1.167,0.996,1.019,2677.15,3124.23,1.167
2014-09-17,1.647,1.071,1.167,1097.43,1439.83,1.312
2014-09-18,1.515,0.9427,1.312,1214.92,1549.02,1.275
2014-09-19,1.195,0.8836,1.275,250.17,283.94,1.135
2014-09-20,1.21,1.135,1.135,83.28,100.77,1.21
2014-09-21,1.187,1.161,1.21,34.22,39.73,1.161
2014-09-22,1.168,1.102,1.161,81.97,90.33,1.102
2014-09-23,1.291,1.167,1.102,75.78,90.25,1.191
2014-09-24,1.158,1.106,1.191,28.87,31.93,1.106
2014-09-25,1.214,1.027,1.106,89.34,96.93,1.085
2014-09-26,1.158,1.065,1.085,166.07,183.84,1.107
2014-09-27,1.191,1.092,1.107,68.79,81.45,1.184
2014-09-28,1.138,1.097,1.184,158.39,173.75,1.097
2014-09-29,1.129,1.061,1.097,66.19,73.67,1.113
2014-09-30,1.147,1.082,1.113,23.59,25.52,1.082
2014-10-01,1.074,1.055,1.082,136.91,146.08,1.067
2014-10-02,1.059,1.037,1.067,143.19,149.2,1.042
2014-10-03,1.01,0.9733,1.042,0.8521,0.8293,0.9733
2014-10-04,0.9265,0.8681,0.9733,476.64,441.61,0.9265
2014-10-05,0.915,0.8456,0.9265,72.63,64.32,0.8856
2014-10-05,0.915,0.8456,0.9265,72.63,64.32,0.8856
2014-10-06,1.003,0.9094,0.8856,45.6,45.42,0.996
2014-10-07,1.033,0.9701,0.996,71.21,69.08,0.9701
2014-10-08,1.047,1.006,0.9701,30.02,30.2,1.006
2014-10-09,1.128,1.034,1.006,186.41,198.15,1.063
2014-10-10,1.072,1.04,1.063,166.59,173.25,1.04
2014-10-11,1.06,1.039,1.04,3.407,3.611,1.06
2014-10-12,1.095,1.066,1.06,250.41,270.44,1.08
2014-10-13,1.129,1.06,1.08,129.29,138.08,1.068
2014-10-14,1.095,1.089,1.068,98.34,107.29,1.091
2014-10-15,1.08,1.068,1.091,359.77,388.55,1.08
2014-10-16,1.057,0.9737,1.08,70.04,68.2,0.9737
